mode,severity,corruption,seed,acc,ece
sar,1,contrast,1,90.92,4.251210946887732
source,1,contrast,2,91.92,4.195471060127019
tent,1,contrast,2,91.979996,4.929798205792904
tent_temp,1,contrast,2,91.6,2.495866399258375
sicl,1,contrast,2,91.56,3.7309383606910704
cgt_isocal,1,contrast,2,92.049995,4.793164845705032
sicl_isocal,1,contrast,2,91.619995,1.9450572371855375
eata,1,contrast,2,91.49,4.667467976212501
sar,1,contrast,2,91.049995,4.1372187495231625
source,1,elastic_transform,0,87.37,6.626489620655775
tent,1,elastic_transform,0,88.58,7.133353296816349
tent_temp,1,elastic_transform,0,88.810005,3.5052279788255687
sicl,1,elastic_transform,0,88.41,4.7834373953938485
cgt_isocal,1,elastic_transform,0,88.4,6.487728013694287
sicl_isocal,1,elastic_transform,0,88.4,2.682568111121655
eata,1,elastic_transform,0,87.92,7.027306773364544
sar,1,elastic_transform,0,86.92,6.851045938581228
source,1,elastic_transform,1,87.37,6.626494181603193
tent,1,elastic_transform,1,88.31,7.3492807212471964
tent_temp,1,elastic_transform,1,88.74,3.3740593367815013
sicl,1,elastic_transform,1,88.62,5.265155358612537
cgt_isocal,1,elastic_transform,1,88.16,6.748840506076813
sicl_isocal,1,elastic_transform,1,88.3,2.6749241812527176
eata,1,elastic_transform,1,87.73,7.21287369042635
sar,1,elastic_transform,1,87.08,6.789441013038158
source,1,elastic_transform,2,87.37,6.626494612544775
tent,1,elastic_transform,2,88.31,7.346517184227705
tent_temp,1,elastic_transform,2,88.090004,3.8629317151010034
sicl,1,elastic_transform,2,88.28,4.704689568728209
cgt_isocal,1,elastic_transform,2,88.83,5.906094276607036
sicl_isocal,1,elastic_transform,2,88.42,2.8175731095671654
eata,1,elastic_transform,2,87.66,7.3264710351824744
sar,1,elastic_transform,2,87.0,6.8247860704362395
source,1,pixelate,0,90.07,5.104513128697872
tent,1,pixelate,0,90.6,5.70232360124588
tent_temp,1,pixelate,0,90.71,2.512890616208315
sicl,1,pixelate,0,90.36,4.1390606601536275
cgt_isocal,1,pixelate,0,90.56,5.115430349707604
sicl_isocal,1,pixelate,0,90.76,2.835463129878044
eata,1,pixelate,0,90.41,5.245055003911257
sar,1,pixelate,0,89.170006,5.463457969874144
source,1,pixelate,1,90.07,5.104513292610646
tent,1,pixelate,1,90.14,6.293386601805687
tent_temp,1,pixelate,1,90.59,2.7597799435257913
sicl,1,pixelate,1,90.55,4.034529953897
cgt_isocal,1,pixelate,1,90.36,5.241420483589172
sicl_isocal,1,pixelate,1,90.7,2.4034521870315073
eata,1,pixelate,1,90.100006,5.448632203638554
sar,1,pixelate,1,89.33,5.262210772186518
source,1,pixelate,2,90.07,5.104513550400734
tent,1,pixelate,2,90.81,5.5091180126369
tent_temp,1,pixelate,2,90.56,2.742179774940014
sicl,1,pixelate,2,90.44,4.120782689154148
cgt_isocal,1,pixelate,2,90.63,5.269039926230907
sicl_isocal,1,pixelate,2,90.3,2.150985094457865
eata,1,pixelate,2,90.0,5.720672363638878
sar,1,pixelate,2,89.490005,5.165624026954174
source,1,jpeg_compression,0,84.41,8.561484428048134
tent,1,jpeg_compression,0,85.5,9.462418473511935
tent_temp,1,jpeg_compression,0,86.11,4.98500537931919
sicl,1,jpeg_compression,0,85.549995,5.25640792042017
cgt_isocal,1,jpeg_compression,0,85.95,7.217982749640941
sicl_isocal,1,jpeg_compression,0,86.07,3.654981208741665
eata,1,jpeg_compression,0,84.59,9.315383888483048
sar,1,jpeg_compression,0,83.62,8.933654381930827
source,1,jpeg_compression,1,84.41,8.561489219963551
tent,1,jpeg_compression,1,85.59,9.170846089124678
tent_temp,1,jpeg_compression,1,85.72,5.235557812452317
sicl,1,jpeg_compression,1,85.85,5.555156230479478
cgt_isocal,1,jpeg_compression,1,85.479996,7.449144329428672
sicl_isocal,1,jpeg_compression,1,85.99,3.1069898706674577
eata,1,jpeg_compression,1,84.71,9.288749738484622
sar,1,jpeg_compression,1,83.600006,8.996829391866923
source,1,jpeg_compression,2,84.41,8.561484182924033
tent,1,jpeg_compression,2,85.399994,9.481508291065694
tent_temp,1,jpeg_compression,2,85.869995,5.082099447399378
sicl,1,jpeg_compression,2,85.479996,5.746876251846552
cgt_isocal,1,jpeg_compression,2,85.75,7.537871481478215
sicl_isocal,1,jpeg_compression,2,85.95,3.425768244713545
eata,1,jpeg_compression,2,84.88,9.211440413743258
sar,1,jpeg_compression,2,83.57,9.147913464307786
source,2,gaussian_noise,0,52.170002,34.100390476584444
tent,2,gaussian_noise,0,82.22,11.673560057878497
tent_temp,2,gaussian_noise,0,81.9,7.387524300515652
sicl,2,gaussian_noise,0,82.42,6.403281116038562
cgt_isocal,2,gaussian_noise,0,82.12,7.755382753014565
sicl_isocal,2,gaussian_noise,0,81.24,3.744904647767543
eata,2,gaussian_noise,0,79.86,12.63599524706602
sar,2,gaussian_noise,0,78.03,12.682268782407046
source,2,gaussian_noise,1,52.170002,34.100390212982894
tent,2,gaussian_noise,1,82.22,11.649784839749337
tent_temp,2,gaussian_noise,1,82.17,7.239604926854371
sicl,2,gaussian_noise,1,82.08,6.2593739660084236
cgt_isocal,2,gaussian_noise,1,82.37,8.118213043808938
sicl_isocal,2,gaussian_noise,1,82.39,4.331887490078808
eata,2,gaussian_noise,1,79.479996,13.009992346018553
sar,2,gaussian_noise,1,78.09,12.65387272849679
source,2,gaussian_noise,2,52.170002,34.100390254855164
tent,2,gaussian_noise,2,82.340004,11.652814141511918
tent_temp,2,gaussian_noise,2,82.11,7.196865078061819
sicl,2,gaussian_noise,2,81.97,6.165466893464328
cgt_isocal,2,gaussian_noise,2,82.24,7.977885516583918
sicl_isocal,2,gaussian_noise,2,81.6,3.550508856475353
eata,2,gaussian_noise,2,79.45,13.118141116946935
sar,2,gaussian_noise,2,78.35,12.23773892700672
source,2,shot_noise,0,72.74,16.46122244864702
tent,2,shot_noise,0,86.31,8.87621445775032
tent_temp,2,shot_noise,0,86.729996,4.745004190951586
sicl,2,shot_noise,0,86.44,5.246718739569187
cgt_isocal,2,shot_noise,0,87.33,5.8852749070525165
sicl_isocal,2,shot_noise,0,87.14,3.5412972901761535
eata,2,shot_noise,0,85.159996,9.002505604624748
sar,2,shot_noise,0,83.880005,8.73260146304965
source,2,shot_noise,1,72.74,16.461226060986515
tent,2,shot_noise,1,86.229996,8.755665113329888
tent_temp,2,shot_noise,1,87.17,4.240270885974169
sicl,2,shot_noise,1,86.83,5.207500608265399
cgt_isocal,2,shot_noise,1,86.88,5.979687924087048
sicl_isocal,2,shot_noise,1,86.619995,3.60043910458684
eata,2,shot_noise,1,85.149994,9.030762106478214
sar,2,shot_noise,1,83.670006,8.953519990891218
source,2,shot_noise,2,72.74,16.46122310459614
tent,2,shot_noise,2,87.48,7.71017956405878
tent_temp,2,shot_noise,2,86.54,4.675952393263579
sicl,2,shot_noise,2,86.79,5.280155763924121
cgt_isocal,2,shot_noise,2,86.68,6.719290198981762
sicl_isocal,2,shot_noise,2,87.07,3.4341681182757022
eata,2,shot_noise,2,85.159996,8.995792225450277
sar,2,shot_noise,2,83.82,8.787265067398549
source,2,impulse_noise,0,70.8,18.690651492476462
tent,2,impulse_noise,0,83.630005,10.680879286527635
tent_temp,2,impulse_noise,0,83.69,6.48525752261281
sicl,2,impulse_noise,0,83.630005,6.610625616908074
cgt_isocal,2,impulse_noise,0,83.69,7.8596810516715045
sicl_isocal,2,impulse_noise,0,83.740005,4.207395085543395
eata,2,impulse_noise,0,81.75,11.37365212649107
sar,2,impulse_noise,0,80.299995,11.151523516476155
source,2,impulse_noise,1,70.8,18.690651794075965
tent,2,impulse_noise,1,83.4,10.802118437588215
tent_temp,2,impulse_noise,1,84.18,5.678271147608757
sicl,2,impulse_noise,1,83.200005,6.233749971389771
cgt_isocal,2,impulse_noise,1,84.18,7.568266679048538
sicl_isocal,2,impulse_noise,1,83.380005,4.116025396734476
eata,2,impulse_noise,1,82.16,11.121795795559883
sar,2,impulse_noise,1,80.52,10.870758516937496
source,2,impulse_noise,2,70.8,18.69065178513527
tent,2,impulse_noise,2,83.64,10.691301198005675
tent_temp,2,impulse_noise,2,83.39,6.593765027821064
sicl,2,impulse_noise,2,83.92,6.741874698400496
cgt_isocal,2,impulse_noise,2,84.03,7.301688522398472
sicl_isocal,2,impulse_noise,2,83.39,4.191871809959411
eata,2,impulse_noise,2,82.0,11.133325908333063
sar,2,impulse_noise,2,80.32,11.055178917050362
source,2,defocus_blur,0,91.24,4.56099194675684
tent,2,defocus_blur,0,92.02,5.012797932177781
tent_temp,2,defocus_blur,0,92.229996,1.9801408329606058
sicl,2,defocus_blur,0,91.93,3.540154958963394
cgt_isocal,2,defocus_blur,0,92.2,4.772238864302635
sicl_isocal,2,defocus_blur,0,92.079994,2.1615473717451095
eata,2,defocus_blur,0,91.7,4.595431810617447
sar,2,defocus_blur,0,91.09,4.380051040500402
source,2,defocus_blur,1,91.24,4.560981911420822
tent,2,defocus_blur,1,91.92,4.926815519034863
tent_temp,2,defocus_blur,1,92.0,2.197640449106693
sicl,2,defocus_blur,1,92.049995,3.084687321186066
cgt_isocal,2,defocus_blur,1,92.02,4.8481434381008155
sicl_isocal,2,defocus_blur,1,91.93,1.8611464543640617
eata,2,defocus_blur,1,91.7,4.609648756533861
sar,2,defocus_blur,1,91.049995,4.448294115513564
source,2,defocus_blur,2,91.24,4.560981893837452
tent,2,defocus_blur,2,91.97,5.083062967658043
tent_temp,2,defocus_blur,2,91.909996,2.2861511734128
sicl,2,defocus_blur,2,91.89,3.5557818448543546
cgt_isocal,2,defocus_blur,2,92.159996,4.661553876399995
sicl_isocal,2,defocus_blur,2,92.32,2.2950294372811912
eata,2,defocus_blur,2,91.72,4.616224099397659
